"filename", "language", "JavaScript", "TypeScript", "JSON", "CSS", "SCSS", "TypeScript JSX", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\next.config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\work\programming228\web\game-tensor\package-lock.json", "JSON", 0, 0, 731, 0, 0, 0, 0, 0, 731
"d:\work\programming228\web\game-tensor\package.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\work\programming228\web\game-tensor\src\components\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 6, 35
"d:\work\programming228\web\game-tensor\src\components\CardAds.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 1, -1, 62
"d:\work\programming228\web\game-tensor\src\components\FollowModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 20
"d:\work\programming228\web\game-tensor\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 6, 97
"d:\work\programming228\web\game-tensor\src\components\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 18
"d:\work\programming228\web\game-tensor\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 7
"d:\work\programming228\web\game-tensor\src\components\TagsSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, -1, 1, 17
"d:\work\programming228\web\game-tensor\src\helper\Constants\timeFunctions.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 1, 5, 26
"d:\work\programming228\web\game-tensor\src\helper\Types\game.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 4, 44
"d:\work\programming228\web\game-tensor\src\helper\alertHooks.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 1, 6, 35
"d:\work\programming228\web\game-tensor\src\interceptors\api.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 1, 0
"d:\work\programming228\web\game-tensor\src\layouts\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, -2, 4
"d:\work\programming228\web\game-tensor\src\layouts\RegistrationLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 12
"d:\work\programming228\web\game-tensor\src\middleware.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 4, 49
"d:\work\programming228\web\game-tensor\src\pages\ad\[adId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 10, 137
"d:\work\programming228\web\game-tensor\src\pages\ad\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 3, 52
"d:\work\programming228\web\game-tensor\src\pages\ad\edit\[adId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 312, 2, 27, 341
"d:\work\programming228\web\game-tensor\src\pages\admin\approve.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, -9, 7, 107
"d:\work\programming228\web\game-tensor\src\pages\admin\block.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 3, 37
"d:\work\programming228\web\game-tensor\src\pages\admin\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 1, 52
"d:\work\programming228\web\game-tensor\src\pages\advertisements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 1, 4, 54
