"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "YAML", "Markdown", "SCSS", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\.eslintrc.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 62
"d:\work\programming228\web\game-tensor\.github\workflows\production.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"d:\work\programming228\web\game-tensor\.prettierrc", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\work\programming228\web\game-tensor\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 16, 42
"d:\work\programming228\web\game-tensor\next.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"d:\work\programming228\web\game-tensor\package-lock.json", "JSON", 12722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12723
"d:\work\programming228\web\game-tensor\package.json", "JSON", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"d:\work\programming228\web\game-tensor\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\work\programming228\web\game-tensor\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\work\programming228\web\game-tensor\src\components\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"d:\work\programming228\web\game-tensor\src\components\CardAds.tsx", "TypeScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 3, 127
"d:\work\programming228\web\game-tensor\src\components\CardTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\work\programming228\web\game-tensor\src\components\FollowModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 6, 89
"d:\work\programming228\web\game-tensor\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
"d:\work\programming228\web\game-tensor\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 2, 10, 326
"d:\work\programming228\web\game-tensor\src\components\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 2, 6, 106
"d:\work\programming228\web\game-tensor\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 2, 7, 76
"d:\work\programming228\web\game-tensor\src\components\TagsSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 1, 9, 118
"d:\work\programming228\web\game-tensor\src\helper\Constants\images_id.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\work\programming228\web\game-tensor\src\helper\Constants\mockAds.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 135, 1, 174
"d:\work\programming228\web\game-tensor\src\helper\Constants\mockImagesTags.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\work\programming228\web\game-tensor\src\helper\Constants\mockRules.ts", "TypeScript", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 1, 126
"d:\work\programming228\web\game-tensor\src\helper\Constants\mockTags.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\work\programming228\web\game-tensor\src\helper\Constants\mockUsers.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\work\programming228\web\game-tensor\src\helper\Constants\timeFunctions.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\work\programming228\web\game-tensor\src\helper\Types\game.ts", "TypeScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 11, 110
"d:\work\programming228\web\game-tensor\src\helper\alertHooks.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 6, 35
"d:\work\programming228\web\game-tensor\src\interceptors\api.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 6, 8, 66
"d:\work\programming228\web\game-tensor\src\layouts\AdminLayot.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\work\programming228\web\game-tensor\src\layouts\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 2, 2, 48
"d:\work\programming228\web\game-tensor\src\layouts\RegistrationLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"d:\work\programming228\web\game-tensor\src\middleware.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 49
"d:\work\programming228\web\game-tensor\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\work\programming228\web\game-tensor\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\work\programming228\web\game-tensor\src\pages\ad\[adId].tsx", "TypeScript JSX", 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 23, 16, 289
"d:\work\programming228\web\game-tensor\src\pages\ad\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 2, 14, 213
"d:\work\programming228\web\game-tensor\src\pages\ad\edit\[adId].tsx", "TypeScript JSX", 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 2, 27, 341
"d:\work\programming228\web\game-tensor\src\pages\admin\approve.tsx", "TypeScript JSX", 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 2, 16, 223
"d:\work\programming228\web\game-tensor\src\pages\admin\block.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 8, 103
"d:\work\programming228\web\game-tensor\src\pages\admin\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 4, 70
"d:\work\programming228\web\game-tensor\src\pages\advertisements.tsx", "TypeScript JSX", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 9, 111
"d:\work\programming228\web\game-tensor\src\pages\bookmarks.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"d:\work\programming228\web\game-tensor\src\pages\chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 4, 22, 345
"d:\work\programming228\web\game-tensor\src\pages\chat\[chatId].tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"d:\work\programming228\web\game-tensor\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 10, 4, 95
"d:\work\programming228\web\game-tensor\src\pages\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 2, 9, 123
"d:\work\programming228\web\game-tensor\src\pages\registration.tsx", "TypeScript JSX", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 1, 8, 149
"d:\work\programming228\web\game-tensor\src\pages\rules.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"d:\work\programming228\web\game-tensor\src\pages\user\[login].tsx", "TypeScript JSX", 0, 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 20, 347
"d:\work\programming228\web\game-tensor\src\pages\user\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 4, 96
"d:\work\programming228\web\game-tensor\src\store\ads\adsSelector.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\work\programming228\web\game-tensor\src\store\ads\adsSlice.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 6, 78
"d:\work\programming228\web\game-tensor\src\store\ads\adsThunk.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\work\programming228\web\game-tensor\src\store\changePassword\changePasswordSelector.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\changePassword\changePasswordSlice.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
